cell_id,grid_x,grid_y,area_km2,building_count,building_footprint_m2,median_building_footprint_m2,building_footprint_share,building_density_km2,poi_count,poi_density_km2,poi_healthcare,poi_healthcare_density_km2,poi_education,poi_education_density_km2,poi_food_drink,poi_food_drink_density_km2,poi_retail_markets,poi_retail_markets_density_km2,poi_transport,poi_transport_density_km2,poi_civic_religious,poi_civic_religious_density_km2,poi_recreation_culture,poi_recreation_culture_density_km2,poi_other,poi_other_density_km2,distance_healthcare_m,distance_education_m,distance_market_m,distance_park_m,distance_transport_m,landuse_residential_share,landuse_commercial_share,landuse_industrial_share,landuse_institutional_share,landuse_green_share,landuse_transport_share,landuse_other_share,mapped_landuse_share,road_length_km,road_density_km_km2,intersection_count,intersection_density_km2,cell_neighbor_count,cell_degree_centrality,cell_betweenness_centrality,cluster_id,pca_1,pca_2,urban_class
C014_020,14,20,0.5625,1251.0,141838.451413,110.151083,0.252157,2224.0,609,1082.666667,11,19.555556,43,76.444444,48,85.333333,95,168.888889,12,21.333333,7,12.444444,5,8.888889,388,689.777778,274.578685,133.301159,149.964063,285.634058,50.286791,0.149415,0.0,0.320426,0.0,0.002019,0.0,0.0,0.47186,10.656,18.944001,62,110.222222,8,0.012461,0.03395,2,4.236207,0.33709,Cluster 2 · recreation/culture-rich / transport-POI-rich
C014_021,14,21,0.5625,250.0,45928.037365,60.303135,0.08165,444.444444,19,33.777778,0,0.0,3,5.333333,1,1.777778,0,0.0,1,1.777778,1,1.777778,0,0.0,13,23.111111,549.66757,230.708873,453.964085,464.510845,330.442234,0.005452,0.000255,0.754823,0.001145,0.0,0.0,0.0,0.761675,10.149644,18.043811,37,65.777778,8,0.012461,0.03225,3,-0.925925,0.511002,Cluster 3 · building-dense / limited recreation POIs
C014_022,14,22,0.5625,271.0,187528.169993,100.171245,0.333383,481.777778,27,48.0,2,3.555556,5,8.888889,1,1.777778,5,8.888889,5,8.888889,2,3.555556,0,0.0,7,12.444444,396.067017,17.669901,416.418955,336.614718,377.59475,0.434949,0.0,0.169953,0.0,0.006924,0.0,0.0,0.611826,13.141018,23.36181,50,88.888889,8,0.012461,0.030225,7,1.400834,0.26401,Cluster 7 · residential land use / road-dense
C014_023,14,23,0.5625,2032.0,214916.307742,76.802506,0.382073,3612.444444,298,529.777778,13,23.111111,36,64.0,16,28.444444,43,76.444444,3,5.333333,8,14.222222,3,5.333333,176,312.888889,112.256044,45.66618,185.552549,649.440778,208.290547,0.026674,0.0,0.0,0.0,0.0,0.0,0.0,0.026674,7.782062,13.834776,53,94.222222,8,0.012461,0.027775,6,3.696189,0.125873,Cluster 6 · high building coverage / retail-rich
C014_024,14,24,0.5625,2454.0,228812.269186,69.019469,0.406777,4362.666667,109,193.777778,4,7.111111,12,21.333333,7,12.444444,21,37.333333,2,3.555556,6,10.666667,3,5.333333,54,96.0,251.562256,81.869108,119.044549,454.005927,166.933905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.758866,12.015762,40,71.111111,8,0.012461,0.024986,6,2.791127,0.012081,Cluster 6 · high building coverage / retail-rich
C014_025,14,25,0.5625,1948.0,223181.185154,86.294537,0.396767,3463.111111,119,211.555556,4,7.111111,12,21.333333,4,7.111111,20,35.555556,1,1.777778,6,10.666667,0,0.0,72,128.0,181.951251,138.076637,147.068029,432.743813,183.872761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.097676,12.618091,41,72.888889,8,0.012461,0.021856,6,2.083937,-0.207611,Cluster 6 · high building coverage / retail-rich
C014_026,14,26,0.5625,1886.0,215666.375751,92.697973,0.383407,3352.888889,63,112.0,2,3.555556,8,14.222222,0,0.0,15,26.666667,0,0.0,3,5.333333,1,1.777778,34,60.444444,365.595117,325.015093,131.138543,764.287396,506.819816,0.0,0.0,0.0,0.0,0.002388,0.0,0.0,0.002388,7.329856,13.030855,42,74.666667,8,0.012461,0.018427,3,0.730476,-0.432193,Cluster 3 · building-dense / limited recreation POIs
C014_027,14,27,0.5625,1951.0,175786.490647,65.814045,0.312509,3468.444444,68,120.888889,5,8.888889,10,17.777778,2,3.555556,13,23.111111,1,1.777778,3,5.333333,1,1.777778,33,58.666667,80.694084,136.679197,136.679197,888.65059,220.846016,0.02671,0.0,0.0,0.0,0.001784,0.0,0.0,0.028494,8.923242,15.863541,64,113.777778,8,0.012461,0.014719,6,1.881951,-0.496016,Cluster 6 · high building coverage / retail-rich
C014_028,14,28,0.5625,1737.0,144075.658811,52.502896,0.256135,3088.0,16,28.444444,0,0.0,2,3.555556,2,3.555556,1,1.777778,0,0.0,2,3.555556,0,0.0,9,16.0,812.193937,127.250998,753.402807,1153.002709,481.839217,0.669339,0.0,0.037339,0.0,0.000251,0.0,0.0,0.706929,7.317989,13.009759,56,99.555556,8,0.012461,0.010669,7,-0.71484,-0.872937,Cluster 7 · residential land use / road-dense
C014_029,14,29,0.5625,943.0,249144.230463,100.314279,0.442923,1676.444444,37,65.777778,1,1.777778,8,14.222222,0,0.0,3,5.333333,3,5.333333,4,7.111111,0,0.0,18,32.0,369.910068,183.27023,387.655384,1453.927201,126.458926,0.290789,0.0,0.743161,0.0,0.0,0.0,0.0,1.0,5.944131,10.567344,21,37.333333,8,0.012461,0.006141,7,0.209608,-1.42509,Cluster 7 · residential land use / road-dense
